Actor,File Name,True Emotion,Predicted Emotion,Confidence Score
Actor_01,03-01-01-01-02-01-01.wav,neutral,happy,0.15116234123706818
Actor_01,03-01-08-01-02-01-01.wav,surprise,happy,0.15542633831501007
Actor_01,03-01-06-02-01-02-01.wav,fear,angry,0.1510080248117447
Actor_01,03-01-08-02-02-02-01.wav,surprise,happy,0.1524697095155716
Actor_01,03-01-03-01-01-02-01.wav,happy,fear,0.1570393592119217
Actor_01,03-01-04-02-01-01-01.wav,sad,happy,0.15843987464904785
Actor_01,03-01-05-01-02-01-01.wav,angry,neutral,0.1561345010995865
Actor_01,03-01-03-01-01-01-01.wav,happy,fear,0.15781283378601074
Actor_01,03-01-03-01-02-01-01.wav,happy,fear,0.15762637555599213
Actor_01,03-01-04-01-02-01-01.wav,sad,happy,0.1562100499868393
Actor_01,03-01-06-01-02-01-01.wav,fear,happy,0.14926105737686157
Actor_01,03-01-06-02-02-01-01.wav,fear,angry,0.1511465311050415
Actor_01,03-01-07-01-01-02-01.wav,disgust,happy,0.15855036675930023
Actor_01,03-01-05-02-01-02-01.wav,angry,disgust,0.15633219480514526
Actor_01,03-01-06-01-01-01-01.wav,fear,happy,0.1507052332162857
Actor_01,03-01-07-02-02-01-01.wav,disgust,happy,0.15831255912780762
Actor_01,03-01-01-01-02-02-01.wav,neutral,happy,0.15175627171993256
Actor_01,03-01-06-01-02-02-01.wav,fear,happy,0.1486419290304184
Actor_01,03-01-04-02-02-02-01.wav,sad,happy,0.15128687024116516
Actor_01,03-01-02-02-02-02-01.wav,calm,happy,0.1492953598499298
Actor_01,03-01-08-01-02-02-01.wav,surprise,happy,0.1544312685728073
Actor_01,03-01-05-02-02-01-01.wav,angry,disgust,0.15621572732925415
Actor_01,03-01-02-02-01-02-01.wav,calm,happy,0.14880123734474182
Actor_01,03-01-08-01-01-02-01.wav,surprise,happy,0.15501396358013153
Actor_01,03-01-02-01-02-02-01.wav,calm,happy,0.14942727982997894
Actor_01,03-01-01-01-01-01-01.wav,neutral,happy,0.14889036118984222
