Actor,File Name,True Emotion,Predicted Emotion,Confidence Score
Actor_01,03-01-01-01-02-01-01.wav,neutral,angry,0.15645179152488708
Actor_01,03-01-08-01-02-01-01.wav,surprise,fear,0.15538892149925232
Actor_01,03-01-06-02-01-02-01.wav,fear,disgust,0.15169362723827362
Actor_01,03-01-08-02-02-02-01.wav,surprise,fear,0.15297219157218933
Actor_01,03-01-03-01-01-02-01.wav,happy,neutral,0.15661801397800446
Actor_01,03-01-04-02-01-01-01.wav,sad,disgust,0.15626777708530426
Actor_01,03-01-05-01-02-01-01.wav,angry,happy,0.15920192003250122
Actor_01,03-01-03-01-01-01-01.wav,happy,neutral,0.15787948668003082
Actor_01,03-01-03-01-02-01-01.wav,happy,neutral,0.15709415078163147
Actor_01,03-01-04-01-02-01-01.wav,sad,disgust,0.15234783291816711
Actor_01,03-01-06-01-02-01-01.wav,fear,disgust,0.1511971801519394
Actor_01,03-01-06-02-02-01-01.wav,fear,surprise,0.15052853524684906
Actor_01,03-01-07-01-01-02-01.wav,disgust,happy,0.15643158555030823
Actor_01,03-01-05-02-01-02-01.wav,angry,fear,0.15860193967819214
Actor_01,03-01-06-01-01-01-01.wav,fear,disgust,0.15343277156352997
Actor_01,03-01-07-02-02-01-01.wav,disgust,happy,0.1567368507385254
Actor_01,03-01-01-01-02-02-01.wav,neutral,angry,0.15918734669685364
Actor_01,03-01-06-01-02-02-01.wav,fear,happy,0.15039364993572235
Actor_01,03-01-04-02-02-02-01.wav,sad,disgust,0.1528995782136917
Actor_01,03-01-02-02-02-02-01.wav,calm,angry,0.15993715822696686
Actor_01,03-01-08-01-02-02-01.wav,surprise,fear,0.1553685963153839
Actor_01,03-01-05-02-02-01-01.wav,angry,fear,0.15847750008106232
Actor_01,03-01-02-02-01-02-01.wav,calm,angry,0.15991532802581787
Actor_01,03-01-08-01-01-02-01.wav,surprise,fear,0.1549903005361557
Actor_01,03-01-02-01-02-02-01.wav,calm,angry,0.16028179228305817
Actor_01,03-01-01-01-01-01-01.wav,neutral,angry,0.15818174183368683
Actor_01,03-01-03-02-02-01-01.wav,happy,neutral,0.1575334221124649
Actor_01,03-01-03-02-01-02-01.wav,happy,neutral,0.15738485753536224
Actor_01,03-01-05-01-02-02-01.wav,angry,fear,0.1584792584180832
Actor_01,03-01-06-02-01-01-01.wav,fear,surprise,0.15089666843414307
Actor_01,03-01-02-01-01-02-01.wav,calm,angry,0.16023437678813934
Actor_01,03-01-05-02-01-01-01.wav,angry,fear,0.1580405831336975
